# RA, Dec, R, G, B, relative apparent brightness, Vmag, BV, parallax
152.64698939, -12.35408295, 1.0, 0.8089970051039489, 0.6054616997936829, 9.036494737223016, 3.61, 1.007, 28.44
153.43424113, -70.03790334, 0.5785854034709969, 0.6683238230761634, 0.9999999999999998, 12.133888504649775, 3.29, -0.074, 8.81
153.68398022, -42.12194167, 0.6541029557380642, 0.7257349629745217, 0.9999999999997625, 7.244359600749901, 3.85, 0.051, 31.72
154.1725706, 23.41731066, 0.840671593008921, 0.8564618358602124, 0.9999999207163355, 10.665961212302578, 3.43, 0.307, 12.56
154.27073249, -61.33230426, 0.9999999999999999, 0.6799702838881654, 0.3658328583886857, 11.066237839776663, 3.39, 1.541, 4.43
154.27413109, 42.91436491, 0.6402359892182861, 0.7150153431271176, 1.0, 10.471285480508996, 3.45, 0.029, 24.27
154.99314355, 19.84148873, 0.9999999999999932, 0.7765867474898014, 0.5402927589753767, 39.44573020752785, 2.01, 1.128, 25.96
155.58225241, 41.49951638, 0.9999999999999999, 0.6667649564699935, 0.3453609086203716, 14.996848355023733, 3.06, 1.603, 13.11
156.09877632, -74.0316119, 0.8930910144429028, 0.8907408347189216, 0.9999977591972496, 6.367955209079157, 3.99, 0.369, 61.67
156.52261134, -16.83629043, 1.0, 0.6986029289719003, 0.39604407360295124, 7.379042301291009, 3.83, 1.456, 13.14
156.96970902, -58.73940319, 0.8488383135344822, 0.8619020026790204, 1.0, 7.516228940182055, 3.81, 0.317, 3.13
158.00609749, -61.68533255, 0.5703207545428786, 0.6622166080519607, 0.9999999999999999, 12.02264434617413, 3.3, -0.089, 6.56
158.20279933, 9.30658558, 0.55, 0.647, 1.0, 7.311390834834176, 3.84, -0.148, 0.57
159.32559015, -48.22562015, 0.8348289260016701, 0.8526405213855083, 0.99999982602919, 7.311390834834176, 3.84, 0.3, 37.71
160.73917189, -64.39445006, 0.55, 0.647, 1.0, 20.137242498623873, 2.74, -0.22, 7.43
161.69240913, -49.42025537, 1.0, 0.837330678569575, 0.6704836196530771, 21.086281499332898, 2.69, 0.901, 28.18
